sentence,word,label
"Aaj university mein bohot rush tha, it was exhausting.",mein,URD
"Aaj university mein bohot rush tha, it was exhausting.",bohot,URD
"Aaj university mein bohot rush tha, it was exhausting.",rush,ENG
"Aaj university mein bohot rush tha, it was exhausting.",tha,URD
"Aaj university mein bohot rush tha, it was exhausting.",it,ENG
"Aaj university mein bohot rush tha, it was exhausting.",was,ENG
"Aaj university mein bohot rush tha, it was exhausting.",exhausting,ENG
Yaar honestly mujhe ye plan bilkul pasand nahi aya.,Yaar,URD
Yaar honestly mujhe ye plan bilkul pasand nahi aya.,honestly,ENG
Yaar honestly mujhe ye plan bilkul pasand nahi aya.,mujhe,URD
Yaar honestly mujhe ye plan bilkul pasand nahi aya.,ye,URD
Yaar honestly mujhe ye plan bilkul pasand nahi aya.,plan,ENG
Yaar honestly mujhe ye plan bilkul pasand nahi aya.,bilkul,ENG
Yaar honestly mujhe ye plan bilkul pasand nahi aya.,pasand,URD
Yaar honestly mujhe ye plan bilkul pasand nahi aya.,nahi,URD
Yaar honestly mujhe ye plan bilkul pasand nahi aya.,aya,URD
"Main ne email send kar di hai, please check your inbox.",Main,URD
"Main ne email send kar di hai, please check your inbox.",ne,URD
"Main ne email send kar di hai, please check your inbox.",email,ENG
"Main ne email send kar di hai, please check your inbox.",send,ENG
"Main ne email send kar di hai, please check your inbox.",kar,URD
"Main ne email send kar di hai, please check your inbox.",di,ENG
"Main ne email send kar di hai, please check your inbox.",hai,URD
"Main ne email send kar di hai, please check your inbox.",please,ENG
"Main ne email send kar di hai, please check your inbox.",check,ENG
"Main ne email send kar di hai, please check your inbox.",your,ENG
"Main ne email send kar di hai, please check your inbox.",inbox,ENG
"Kal se gym start karna hai, I really need motivation.",Kal,URD
"Kal se gym start karna hai, I really need motivation.",se,URD
"Kal se gym start karna hai, I really need motivation.",gym,ENG
"Kal se gym start karna hai, I really need motivation.",start,ENG
"Kal se gym start karna hai, I really need motivation.",karna,URD
"Kal se gym start karna hai, I really need motivation.",hai,URD
"Kal se gym start karna hai, I really need motivation.",I,ENG
"Kal se gym start karna hai, I really need motivation.",really,ENG
"Kal se gym start karna hai, I really need motivation.",need,ENG
"Kal se gym start karna hai, I really need motivation.",motivation,ENG
"Ye assignment complete hai, bas final review baqi hai.",Ye,URD
"Ye assignment complete hai, bas final review baqi hai.",assignment,URD
"Ye assignment complete hai, bas final review baqi hai.",complete,ENG
"Ye assignment complete hai, bas final review baqi hai.",hai,URD
"Ye assignment complete hai, bas final review baqi hai.",bas,URD
"Ye assignment complete hai, bas final review baqi hai.",final,ENG
"Ye assignment complete hai, bas final review baqi hai.",review,ENG
"Ye assignment complete hai, bas final review baqi hai.",baqi,URD
"Ye assignment complete hai, bas final review baqi hai.",hai,URD
"Mujhe tumhari help chahiye, can you explain this part?",Mujhe,URD
"Mujhe tumhari help chahiye, can you explain this part?",tumhari,URD
"Mujhe tumhari help chahiye, can you explain this part?",help,ENG
"Mujhe tumhari help chahiye, can you explain this part?",chahiye,URD
"Mujhe tumhari help chahiye, can you explain this part?",can,ENG
"Mujhe tumhari help chahiye, can you explain this part?",you,ENG
"Mujhe tumhari help chahiye, can you explain this part?",explain,ENG
"Mujhe tumhari help chahiye, can you explain this part?",this,ENG
"Mujhe tumhari help chahiye, can you explain this part?",part,ENG
"Aaj meeting cancel ho gayi, so we are free now.",Aaj,URD
"Aaj meeting cancel ho gayi, so we are free now.",meeting,ENG
"Aaj meeting cancel ho gayi, so we are free now.",cancel,ENG
"Aaj meeting cancel ho gayi, so we are free now.",ho,URD
"Aaj meeting cancel ho gayi, so we are free now.",gayi,URD
"Aaj meeting cancel ho gayi, so we are free now.",so,ENG
"Aaj meeting cancel ho gayi, so we are free now.",we,ENG
"Aaj meeting cancel ho gayi, so we are free now.",are,ENG
"Aaj meeting cancel ho gayi, so we are free now.",free,ENG
"Aaj meeting cancel ho gayi, so we are free now.",now,ENG
"Yaar first episode was amazing, story bohot interesting thi.",Yaar,URD
"Yaar first episode was amazing, story bohot interesting thi.",first,ENG
"Yaar first episode was amazing, story bohot interesting thi.",episode,ENG
"Yaar first episode was amazing, story bohot interesting thi.",was,ENG
"Yaar first episode was amazing, story bohot interesting thi.",amazing,ENG
"Yaar first episode was amazing, story bohot interesting thi.",story,ENG
"Yaar first episode was amazing, story bohot interesting thi.",bohot,URD
"Yaar first episode was amazing, story bohot interesting thi.",interesting,ENG
"Yaar first episode was amazing, story bohot interesting thi.",thi,URD
"Main thak gayi hoon, I just want to sleep.",Main,URD
"Main thak gayi hoon, I just want to sleep.",thak,ENG
"Main thak gayi hoon, I just want to sleep.",gayi,URD
"Main thak gayi hoon, I just want to sleep.",hoon,URD
"Main thak gayi hoon, I just want to sleep.",I,ENG
"Main thak gayi hoon, I just want to sleep.",just,ENG
"Main thak gayi hoon, I just want to sleep.",want,ENG
"Main thak gayi hoon, I just want to sleep.",to,ENG
"Main thak gayi hoon, I just want to sleep.",sleep,ENG
Please mujhe remind kar dena about the meeting tomorrow.,Please,ENG
Please mujhe remind kar dena about the meeting tomorrow.,mujhe,URD
Please mujhe remind kar dena about the meeting tomorrow.,remind,ENG
Please mujhe remind kar dena about the meeting tomorrow.,kar,URD
Please mujhe remind kar dena about the meeting tomorrow.,dena,URD
Please mujhe remind kar dena about the meeting tomorrow.,about,ENG
Please mujhe remind kar dena about the meeting tomorrow.,the,ENG
Please mujhe remind kar dena about the meeting tomorrow.,meeting,ENG
Please mujhe remind kar dena about the meeting tomorrow.,tomorrow,ENG
"Bhai ye laptop bohot acha hai, but it's out of my budget.",Bhai,URD
"Bhai ye laptop bohot acha hai, but it's out of my budget.",ye,URD
"Bhai ye laptop bohot acha hai, but it's out of my budget.",laptop,ENG
"Bhai ye laptop bohot acha hai, but it's out of my budget.",bohot,URD
"Bhai ye laptop bohot acha hai, but it's out of my budget.",acha,URD
"Bhai ye laptop bohot acha hai, but it's out of my budget.",hai,URD
"Bhai ye laptop bohot acha hai, but it's out of my budget.",but,ENG
"Bhai ye laptop bohot acha hai, but it's out of my budget.",it's,ENG
"Bhai ye laptop bohot acha hai, but it's out of my budget.",out,ENG
"Bhai ye laptop bohot acha hai, but it's out of my budget.",of,ENG
"Bhai ye laptop bohot acha hai, but it's out of my budget.",my,ENG
"Bhai ye laptop bohot acha hai, but it's out of my budget.",budget,ENG
"Main abhi market mein hoon, do you need anything?",Main,URD
"Main abhi market mein hoon, do you need anything?",abhi,URD
"Main abhi market mein hoon, do you need anything?",market,ENG
"Main abhi market mein hoon, do you need anything?",mein,URD
"Main abhi market mein hoon, do you need anything?",hoon,URD
"Main abhi market mein hoon, do you need anything?",do,URD
"Main abhi market mein hoon, do you need anything?",you,ENG
"Main abhi market mein hoon, do you need anything?",need,ENG
"Main abhi market mein hoon, do you need anything?",anything,ENG
Mujhe lagta hai ye option is better for us.,Mujhe,URD
Mujhe lagta hai ye option is better for us.,lagta,URD
Mujhe lagta hai ye option is better for us.,hai,URD
Mujhe lagta hai ye option is better for us.,ye,URD
Mujhe lagta hai ye option is better for us.,option,ENG
Mujhe lagta hai ye option is better for us.,is,URD
Mujhe lagta hai ye option is better for us.,better,ENG
Mujhe lagta hai ye option is better for us.,for,ENG
Mujhe lagta hai ye option is better for us.,us,URD
"Aaj ka test difficult tha, but I tried my best.",Aaj,URD
"Aaj ka test difficult tha, but I tried my best.",ka,URD
"Aaj ka test difficult tha, but I tried my best.",test,ENG
"Aaj ka test difficult tha, but I tried my best.",difficult,ENG
"Aaj ka test difficult tha, but I tried my best.",tha,URD
"Aaj ka test difficult tha, but I tried my best.",but,ENG
"Aaj ka test difficult tha, but I tried my best.",I,ENG
"Aaj ka test difficult tha, but I tried my best.",tried,ENG
"Aaj ka test difficult tha, but I tried my best.",my,ENG
"Aaj ka test difficult tha, but I tried my best.",best,ENG
Yaar tum itna late kyun aye? We were waiting for you.,Yaar,URD
Yaar tum itna late kyun aye? We were waiting for you.,tum,URD
Yaar tum itna late kyun aye? We were waiting for you.,itna,ENG
Yaar tum itna late kyun aye? We were waiting for you.,late,ENG
Yaar tum itna late kyun aye? We were waiting for you.,kyun,URD
Yaar tum itna late kyun aye? We were waiting for you.,aye,ENG
Yaar tum itna late kyun aye? We were waiting for you.,We,ENG
Yaar tum itna late kyun aye? We were waiting for you.,were,ENG
Yaar tum itna late kyun aye? We were waiting for you.,waiting,ENG
Yaar tum itna late kyun aye? We were waiting for you.,for,ENG
Yaar tum itna late kyun aye? We were waiting for you.,you,ENG
Kal presentation hai aur meri preparation abhi tak complete nahi hui.,Kal,URD
Kal presentation hai aur meri preparation abhi tak complete nahi hui.,presentation,ENG
Kal presentation hai aur meri preparation abhi tak complete nahi hui.,hai,URD
Kal presentation hai aur meri preparation abhi tak complete nahi hui.,aur,URD
Kal presentation hai aur meri preparation abhi tak complete nahi hui.,meri,URD
Kal presentation hai aur meri preparation abhi tak complete nahi hui.,preparation,ENG
Kal presentation hai aur meri preparation abhi tak complete nahi hui.,abhi,URD
Kal presentation hai aur meri preparation abhi tak complete nahi hui.,tak,ENG
Kal presentation hai aur meri preparation abhi tak complete nahi hui.,complete,ENG
Kal presentation hai aur meri preparation abhi tak complete nahi hui.,nahi,URD
Kal presentation hai aur meri preparation abhi tak complete nahi hui.,hui,ENG
"Main ye document download kar rahi hoon, wait for a minute.",Main,URD
"Main ye document download kar rahi hoon, wait for a minute.",ye,URD
"Main ye document download kar rahi hoon, wait for a minute.",document,ENG
"Main ye document download kar rahi hoon, wait for a minute.",download,ENG
"Main ye document download kar rahi hoon, wait for a minute.",kar,URD
"Main ye document download kar rahi hoon, wait for a minute.",rahi,URD
"Main ye document download kar rahi hoon, wait for a minute.",hoon,URD
"Main ye document download kar rahi hoon, wait for a minute.",wait,ENG
"Main ye document download kar rahi hoon, wait for a minute.",for,ENG
"Main ye document download kar rahi hoon, wait for a minute.",a,ENG
"Main ye document download kar rahi hoon, wait for a minute.",minute,ENG
"Ye place bohot peaceful hai, I really like it here.",Ye,URD
"Ye place bohot peaceful hai, I really like it here.",place,ENG
"Ye place bohot peaceful hai, I really like it here.",bohot,URD
"Ye place bohot peaceful hai, I really like it here.",peaceful,ENG
"Ye place bohot peaceful hai, I really like it here.",hai,URD
"Ye place bohot peaceful hai, I really like it here.",I,ENG
"Ye place bohot peaceful hai, I really like it here.",really,ENG
"Ye place bohot peaceful hai, I really like it here.",like,ENG
"Ye place bohot peaceful hai, I really like it here.",it,ENG
"Ye place bohot peaceful hai, I really like it here.",here,ENG
"Bhai mujhe password yaad nahi, can you help me?",Bhai,URD
"Bhai mujhe password yaad nahi, can you help me?",mujhe,URD
"Bhai mujhe password yaad nahi, can you help me?",password,ENG
"Bhai mujhe password yaad nahi, can you help me?",yaad,ENG
"Bhai mujhe password yaad nahi, can you help me?",nahi,URD
"Bhai mujhe password yaad nahi, can you help me?",can,ENG
"Bhai mujhe password yaad nahi, can you help me?",you,ENG
"Bhai mujhe password yaad nahi, can you help me?",help,ENG
"Bhai mujhe password yaad nahi, can you help me?",me,ENG
Aaj dinner mein kya banana hai? I am already hungry.,Aaj,URD
Aaj dinner mein kya banana hai? I am already hungry.,dinner,ENG
Aaj dinner mein kya banana hai? I am already hungry.,mein,URD
Aaj dinner mein kya banana hai? I am already hungry.,kya,URD
Aaj dinner mein kya banana hai? I am already hungry.,banana,ENG
Aaj dinner mein kya banana hai? I am already hungry.,hai,URD
